,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
340,92.0,10.0,9.0,10.0,10.0,10.0,10.0
341,96.0,10.0,10.0,10.0,10.0,10.0,9.0
342,98.0,10.0,10.0,10.0,10.0,10.0,10.0
343,98.0,10.0,10.0,10.0,10.0,10.0,10.0
344,91.0,10.0,10.0,10.0,10.0,9.0,9.0
345,95.0,10.0,10.0,10.0,10.0,10.0,10.0
346,91.0,9.0,9.0,10.0,10.0,9.0,9.0
347,99.0,10.0,10.0,10.0,10.0,10.0,10.0
348,94.0,10.0,10.0,10.0,10.0,10.0,10.0
349,100.0,10.0,10.0,10.0,10.0,9.0,10.0
350,94.0,10.0,9.0,10.0,10.0,10.0,9.0
351,84.0,9.0,8.0,9.0,10.0,9.0,8.0
352,98.0,10.0,10.0,10.0,10.0,10.0,10.0
353,100.0,10.0,10.0,10.0,10.0,10.0,10.0
354,88.0,9.0,8.0,10.0,10.0,10.0,9.0
355,90.0,8.0,8.0,10.0,10.0,10.0,10.0
356,95.0,10.0,10.0,10.0,10.0,10.0,10.0
358,98.0,10.0,10.0,10.0,10.0,10.0,9.0
359,100.0,10.0,10.0,10.0,10.0,10.0,10.0
360,98.0,10.0,10.0,10.0,10.0,10.0,10.0
361,97.0,10.0,10.0,10.0,10.0,10.0,10.0
362,96.0,10.0,10.0,10.0,10.0,10.0,10.0
363,97.0,10.0,9.0,10.0,10.0,10.0,9.0
364,96.0,10.0,10.0,10.0,10.0,10.0,10.0
365,93.0,9.0,9.0,9.0,9.0,9.0,9.0
366,91.0,9.0,8.0,9.0,9.0,10.0,8.0
367,95.0,10.0,10.0,10.0,10.0,10.0,10.0
368,90.0,9.0,10.0,9.0,10.0,10.0,9.0
369,96.0,10.0,10.0,10.0,10.0,10.0,10.0
370,98.0,10.0,10.0,10.0,10.0,10.0,10.0
371,100.0,10.0,10.0,10.0,10.0,10.0,10.0
372,89.0,9.0,8.0,10.0,10.0,9.0,9.0
373,95.0,10.0,10.0,10.0,10.0,10.0,10.0
374,99.0,10.0,10.0,10.0,10.0,10.0,10.0
375,85.0,9.0,8.0,10.0,10.0,9.0,9.0
376,84.0,9.0,8.0,10.0,9.0,9.0,9.0
377,60.0,6.0,5.0,8.0,8.0,8.0,6.0
378,98.0,10.0,10.0,10.0,10.0,10.0,10.0
379,98.0,10.0,10.0,10.0,10.0,10.0,10.0
380,96.0,10.0,10.0,10.0,10.0,10.0,10.0
381,98.0,10.0,10.0,10.0,10.0,10.0,10.0
382,97.0,10.0,10.0,10.0,10.0,10.0,10.0
383,93.0,10.0,10.0,10.0,10.0,10.0,10.0
384,83.0,9.0,8.0,9.0,9.0,9.0,8.0
385,100.0,10.0,10.0,10.0,10.0,10.0,9.0
386,93.0,9.0,10.0,10.0,10.0,9.0,9.0
387,88.0,8.0,8.0,8.0,7.0,10.0,9.0
388,99.0,10.0,10.0,10.0,10.0,10.0,10.0
389,91.0,9.0,9.0,10.0,10.0,10.0,9.0
390,93.0,9.0,9.0,10.0,10.0,10.0,9.0
391,100.0,10.0,10.0,10.0,10.0,10.0,10.0
392,97.0,10.0,10.0,10.0,10.0,10.0,10.0
393,95.0,10.0,10.0,10.0,10.0,10.0,9.0
394,100.0,10.0,9.0,10.0,10.0,10.0,10.0
395,96.0,10.0,9.0,10.0,10.0,10.0,9.0
396,100.0,9.0,10.0,10.0,10.0,10.0,10.0
398,100.0,10.0,9.0,10.0,10.0,9.0,10.0
399,96.0,10.0,10.0,10.0,10.0,10.0,10.0
400,98.0,10.0,10.0,10.0,10.0,10.0,10.0
401,100.0,10.0,10.0,10.0,10.0,10.0,9.0
402,94.0,10.0,9.0,10.0,10.0,10.0,9.0
403,60.0,10.0,4.0,10.0,8.0,8.0,6.0
404,98.0,10.0,10.0,10.0,10.0,10.0,10.0
405,78.0,8.0,7.0,9.0,10.0,10.0,8.0
406,93.0,9.0,9.0,8.0,9.0,10.0,9.0
408,92.0,10.0,9.0,9.0,10.0,10.0,9.0
410,96.0,10.0,10.0,10.0,10.0,10.0,10.0
411,97.0,10.0,10.0,10.0,10.0,10.0,10.0
412,97.0,10.0,10.0,10.0,10.0,10.0,10.0
413,100.0,9.0,9.0,10.0,10.0,10.0,10.0
414,96.0,10.0,10.0,10.0,10.0,10.0,10.0
415,98.0,10.0,10.0,10.0,10.0,10.0,10.0
416,90.0,10.0,9.0,10.0,10.0,10.0,9.0
417,98.0,10.0,10.0,10.0,10.0,10.0,9.0
418,97.0,10.0,10.0,10.0,10.0,10.0,10.0
419,96.0,10.0,10.0,10.0,10.0,10.0,9.0
420,93.0,9.0,9.0,9.0,9.0,10.0,9.0
421,98.0,10.0,10.0,10.0,10.0,10.0,10.0
422,75.0,7.0,7.0,10.0,9.0,9.0,7.0
423,98.0,10.0,10.0,10.0,10.0,10.0,10.0
424,93.0,10.0,9.0,10.0,10.0,10.0,10.0
425,84.0,9.0,10.0,10.0,10.0,9.0,8.0
426,94.0,10.0,9.0,10.0,10.0,10.0,9.0
427,100.0,10.0,10.0,8.0,10.0,10.0,10.0
428,92.0,10.0,9.0,10.0,10.0,10.0,9.0
429,98.0,10.0,10.0,10.0,10.0,10.0,10.0
430,93.0,10.0,9.0,10.0,9.0,10.0,10.0
431,96.0,10.0,10.0,10.0,10.0,10.0,10.0
432,96.0,10.0,10.0,10.0,10.0,9.0,10.0
433,97.0,10.0,10.0,10.0,10.0,9.0,10.0
434,98.0,10.0,10.0,10.0,10.0,10.0,10.0
435,93.0,10.0,9.0,10.0,9.0,10.0,10.0
436,60.0,8.0,6.0,10.0,10.0,10.0,6.0
437,93.0,9.0,10.0,10.0,10.0,10.0,10.0
438,95.0,9.0,9.0,10.0,10.0,10.0,10.0
